taxid,name,nametype,rank
31,Myxococcaceae,scientific name,family
39,Archangiaceae,scientific name,family
49,Polyangiaceae,scientific name,family
126,Planctomycetaceae,scientific name,family
137,Spirochaetaceae,scientific name,family
170,Leptospiraceae,scientific name,family
403,Methylococcaceae,scientific name,family
433,Acetobacteraceae,scientific name,family
444,Legionellaceae,scientific name,family
468,Moraxellaceae,scientific name,family
481,Neisseriaceae,scientific name,family
506,Alcaligenaceae,scientific name,family
543,Enterobacteriaceae,scientific name,family
641,Vibrionaceae,scientific name,family
712,Pasteurellaceae,scientific name,family
772,Bartonellaceae,scientific name,family
775,Rickettsiaceae,scientific name,family
809,Chlamydiaceae,scientific name,family
815,Bacteroidaceae,scientific name,family
868,Cardiobacteriaceae,scientific name,family
942,Anaplasmataceae,scientific name,family
972,Halanaerobiaceae,scientific name,family
1046,Chromatiaceae,scientific name,family
1106,Chloroflexaceae,scientific name,family
1162,Nostocaceae,scientific name,family
1182,Scytonemataceae,scientific name,family
1185,Rivulariaceae,scientific name,family
1189,Stigonemataceae,scientific name,family
1213,Prochloraceae,scientific name,family
1268,Micrococcaceae,scientific name,family
1300,Streptococcaceae,scientific name,family
1653,Corynebacteriaceae,scientific name,family
1762,Mycobacteriaceae,scientific name,family
2004,Streptosporangiaceae,scientific name,family
2012,Thermomonosporaceae,scientific name,family
2049,Actinomycetaceae,scientific name,family
2062,Streptomycetaceae,scientific name,family
2070,Pseudonocardiaceae,scientific name,family
2092,Mycoplasmataceae,scientific name,family
2131,Spiroplasmataceae,scientific name,family
2146,Acholeplasmataceae,scientific name,family
2159,Methanobacteriaceae,scientific name,family
2178,Methanothermaceae,scientific name,family
2183,Methanococcaceae,scientific name,family
2194,Methanomicrobiaceae,scientific name,family
2206,Methanosarcinaceae,scientific name,family
2232,Archaeoglobaceae,scientific name,family
2236,Halobacteriaceae,scientific name,family
2259,Thermococcaceae,scientific name,family
2267,Thermoproteaceae,scientific name,family
2272,Desulfurococcaceae,scientific name,family
2307,Pyrodictiaceae,scientific name,family
2799,Porphyridiaceae,scientific name,family
2803,Rhodomelaceae,scientific name,family
2808,Gelidiaceae,scientific name,family
2814,Endocladiaceae,scientific name,family
2820,Palmariaceae,scientific name,family
2874,Dictyotaceae,scientific name,family
2878,Ectocarpaceae,scientific name,family
2887,Alariaceae,scientific name,family
2891,Scytosiphonaceae,scientific name,family
2896,Cryptomonadaceae,scientific name,family
2943,Prorocentraceae,scientific name,family
2975,Vaucheriaceae,scientific name,family
2979,Tribonemataceae,scientific name,family
3010,Fucaceae,scientific name,family
3014,Sargassaceae,scientific name,family
3024,Chordaceae,scientific name,family
3043,Dunaliellaceae,scientific name,family
3051,Chlamydomonadaceae,scientific name,family
3062,Spondylomoraceae,scientific name,family
3065,Volvocaceae,scientific name,family
3070,Oocystaceae,scientific name,family
3086,Scenedesmaceae,scientific name,family
3090,Chlorococcaceae,scientific name,family
3103,Hydrodictyaceae,scientific name,family
3114,Ulvaceae,scientific name,family
3122,Coleochaetaceae,scientific name,family
3127,Bryopsidaceae,scientific name,family
3131,Codiaceae,scientific name,family
3135,Dasycladaceae,scientific name,family
3142,Chlorokybaceae,scientific name,family
3146,Characeae,scientific name,family
3173,Klebsormidiaceae,scientific name,family
3178,Zygnemataceae,scientific name,family
3201,Jungermanniaceae,scientific name,family
3211,Polytrichaceae,scientific name,family
3216,Funariaceae,scientific name,family
3220,Dicranaceae,scientific name,family
3223,Ditrichaceae,scientific name,family
3227,Mniaceae,scientific name,family
3238,Psilotaceae,scientific name,family
3245,Selaginellaceae,scientific name,family
3250,Lycopodiaceae,scientific name,family
3256,Equisetaceae,scientific name,family
3265,Marattiaceae,scientific name,family
3269,Dicksoniaceae,scientific name,family
3272,Gleicheniaceae,scientific name,family
3275,Polypodiaceae,scientific name,family
3282,Osmundaceae,scientific name,family
3298,Zamiaceae,scientific name,family
3309,Ginkgoaceae,scientific name,family
3318,Pinaceae,scientific name,family
3362,Podocarpaceae,scientific name,family
3367,Cupressaceae,scientific name,family
3375,Welwitschiaceae,scientific name,family
