taxid,name,nametype,rank
6,Azorhizobium,scientific name,genus
10,Cellvibrio,scientific name,genus
13,Dictyoglomus,scientific name,genus
16,Methylophilus,scientific name,genus
18,Pelobacter,scientific name,genus
20,Phenylobacterium,scientific name,genus
22,Shewanella,scientific name,genus
32,Myxococcus,scientific name,genus
40,Stigmatella,scientific name,genus
42,Cystobacter,scientific name,genus
44,Melittangium,scientific name,genus
47,Archangium,scientific name,genus
50,Chondromyces,scientific name,genus
53,Nannocystis,scientific name,genus
55,Polyangium,scientific name,genus
59,Vitreoscilla,scientific name,genus
64,Herpetosiphon,scientific name,genus
68,Lysobacter,scientific name,genus
71,Simonsiella,scientific name,genus
75,Caulobacter,scientific name,genus
81,Hyphomicrobium,scientific name,genus
85,Hyphomonas,scientific name,genus
88,Leptothrix,scientific name,genus
93,Stella,scientific name,genus
96,Gallionella,scientific name,genus
99,Ancylobacter,scientific name,genus
101,Flectobacillus,scientific name,genus
105,Runella,scientific name,genus
107,Spirosoma,scientific name,genus
109,Blastobacter,scientific name,genus
113,Gemmata,scientific name,genus
118,Planctomyces,scientific name,genus
123,Pirellula,scientific name,genus
127,Isosphaera,scientific name,genus
131,Tuberoidobacter,scientific name,genus
133,Methylocystis,scientific name,genus
138,Borrelia,scientific name,genus
146,Spirochaeta,scientific name,genus
157,Treponema,scientific name,genus
171,Leptospira,scientific name,genus
179,Leptospirillum,scientific name,genus
187,Aquaspirillum,scientific name,genus
191,Azospirillum,scientific name,genus
194,Campylobacter,scientific name,genus
209,Helicobacter,scientific name,genus
222,Achromobacter,scientific name,genus
226,Alteromonas,scientific name,genus
234,Brucella,scientific name,genus
237,Flavobacterium,scientific name,genus
262,Francisella,scientific name,genus
265,Paracoccus,scientific name,genus
270,Thermus,scientific name,genus
279,Xanthobacter,scientific name,genus
283,Comamonas,scientific name,genus
286,Pseudomonas,scientific name,genus
338,Xanthomonas,scientific name,genus
349,Zoogloea,scientific name,genus
352,Azotobacter,scientific name,genus
357,Agrobacterium,scientific name,genus
374,Bradyrhizobium,scientific name,genus
379,Rhizobium,scientific name,genus
404,Methylobacillus,scientific name,genus
407,Methylobacterium,scientific name,genus
413,Methylococcus,scientific name,genus
416,Methylomonas,scientific name,genus
425,Methylosinus,scientific name,genus
429,Methylobacter,scientific name,genus
434,Acetobacter,scientific name,genus
441,Gluconobacter,scientific name,genus
445,Legionella,scientific name,genus
461,Fluoribacter,scientific name,genus
465,Tatlockia,scientific name,genus
469,Acinetobacter,scientific name,genus
475,Moraxella,scientific name,genus
482,Neisseria,scientific name,genus
497,Psychrobacter,scientific name,genus
499,Thermomicrobium,scientific name,genus
507,Alcaligenes,scientific name,genus
517,Bordetella,scientific name,genus
522,Acidiphilium,scientific name,genus
528,Ochrobactrum,scientific name,genus
532,Beijerinckia,scientific name,genus
535,Chromobacterium,scientific name,genus
538,Eikenella,scientific name,genus
541,Zymomonas,scientific name,genus
544,Citrobacter,scientific name,genus
547,Enterobacter,scientific name,genus
551,Erwinia,scientific name,genus
561,Escherichia,scientific name,genus
568,Hafnia,scientific name,genus
570,Klebsiella,scientific name,genus
579,Kluyvera,scientific name,genus
581,Morganella,scientific name,genus
583,Proteus,scientific name,genus
586,Providencia,scientific name,genus
590,Salmonella,scientific name,genus
613,Serratia,scientific name,genus
620,Shigella,scientific name,genus
626,Xenorhabdus,scientific name,genus
629,Yersinia,scientific name,genus
635,Edwardsiella,scientific name,genus
637,Arsenophonus,scientific name,genus
642,Aeromonas,scientific name,genus
657,Photobacterium,scientific name,genus
662,Vibrio,scientific name,genus
702,Plesiomonas,scientific name,genus
713,Actinobacillus,scientific name,genus
724,Haemophilus,scientific name,genus
745,Pasteurella,scientific name,genus
768,Anaplasma,scientific name,genus
773,Bartonella,scientific name,genus
776,Coxiella,scientific name,genus
780,Rickettsia,scientific name,genus
810,Chlamydia,scientific name,genus
816,Bacteroides,scientific name,genus
830,Butyrivibrio,scientific name,genus
832,Fibrobacter,scientific name,genus
836,Porphyromonas,scientific name,genus
838,Prevotella,scientific name,genus
841,Roseburia,scientific name,genus
843,Wolinella,scientific name,genus
846,Oxalobacter,scientific name,genus
848,Fusobacterium,scientific name,genus
862,Syntrophomonas,scientific name,genus
864,Pectinatus,scientific name,genus
866,Ruminobacter,scientific name,genus
869,Dichelobacter,scientific name,genus
872,Desulfovibrio,scientific name,genus
890,Desulfuromonas,scientific name,genus
893,Desulfobulbus,scientific name,genus
896,Desulfococcus,scientific name,genus
898,Desulfomicrobium,scientific name,genus
904,Acidaminococcus,scientific name,genus
906,Megasphaera,scientific name,genus
911,Nitrobacter,scientific name,genus
914,Nitrosomonas,scientific name,genus
919,Thiobacillus,scientific name,genus
933,Thiomicrospira,scientific name,genus
936,Thiovulum,scientific name,genus
939,Hydrogenobacter,scientific name,genus
943,Ehrlichia,scientific name,genus
953,Wolbachia,scientific name,genus
958,Bdellovibrio,scientific name,genus
963,Herbaspirillum,scientific name,genus
965,Oceanospirillum,scientific name,genus
967,Spirillum,scientific name,genus
970,Selenomonas,scientific name,genus
973,Sporohalobacter,scientific name,genus
978,Cytophaga,scientific name,genus
992,Flexibacter,scientific name,genus
1007,Saprospira,scientific name,genus
1011,Sporocytophaga,scientific name,genus
1013,Weeksella,scientific name,genus
1016,Capnocytophaga,scientific name,genus
1021,Beggiatoa,scientific name,genus
1023,Microscilla,scientific name,genus
1030,Thiothrix,scientific name,genus
1033,Afipia,scientific name,genus
1041,Erythrobacter,scientific name,genus
1047,Chromatium,scientific name,genus
1051,Ectothiorhodospira,scientific name,genus
1056,Thiocapsa,scientific name,genus
1060,Rhodobacter,scientific name,genus
1064,Rhodocyclus,scientific name,genus
1068,Rhodomicrobium,scientific name,genus
1070,Rhodopila,scientific name,genus
1073,Rhodopseudomonas,scientific name,genus
1081,Rhodospirillum,scientific name,genus
1091,Chlorobium,scientific name,genus
1099,Pelodictyon,scientific name,genus
1101,Prosthecochloris,scientific name,genus
1103,Clathrochloris,scientific name,genus
1107,Chloroflexus,scientific name,genus
1109,Heliothrix,scientific name,genus
1111,Porphyrobacter,scientific name,genus
1119,Aphanocapsa,scientific name,genus
1121,Aphanothece,scientific name,genus
1123,Chlorogloeopsis,scientific name,genus
1125,Microcystis,scientific name,genus
1129,Synechococcus,scientific name,genus
1142,Synechocystis,scientific name,genus
1152,Pseudanabaena,scientific name,genus
1154,Spirulina,scientific name,genus
1158,Oscillatoria,scientific name,genus
1163,Anabaena,scientific name,genus
1175,Aphanizomenon,scientific name,genus
1177,Nostoc,scientific name,genus
1183,Plectonema,scientific name,genus
1186,Calothrix,scientific name,genus
1190,Fischerella,scientific name,genus
1198,Phormidium,scientific name,genus
1203,Scytonema,scientific name,genus
1205,Trichodesmium,scientific name,genus
1214,Prochloron,scientific name,genus
1218,Prochlorococcus,scientific name,genus
1222,Prochlorothrix,scientific name,genus
1227,Nitrosococcus,scientific name,genus
1232,Nitrosovibrio,scientific name,genus
1234,Nitrospira,scientific name,genus
1237,Piscirickettsia,scientific name,genus
1243,Leuconostoc,scientific name,genus
1253,Pediococcus,scientific name,genus
1257,Peptostreptococcus,scientific name,genus
1263,Ruminococcus,scientific name,genus
1266,Sarcina,scientific name,genus
1269,Micrococcus,scientific name,genus
1279,Staphylococcus,scientific name,genus
1298,Deinococcus,scientific name,genus
1301,Streptococcus,scientific name,genus
1350,Enterococcus,scientific name,genus
1357,Lactococcus,scientific name,genus
1370,Marinococcus,scientific name,genus
1372,Planococcus,scientific name,genus
1375,Aerococcus,scientific name,genus
1378,Gemella,scientific name,genus
1380,Atopobium,scientific name,genus
1386,Bacillus,scientific name,genus
1485,Clostridium,scientific name,genus
1562,Desulfotomaculum,scientific name,genus
1567,Quinella,scientific name,genus
1569,Sporosarcina,scientific name,genus
1573,Clavibacter,scientific name,genus
1578,Lactobacillus,scientific name,genus
1637,Listeria,scientific name,genus
1645,Renibacterium,scientific name,genus
1647,Erysipelothrix,scientific name,genus
1649,Kurthia,scientific name,genus
1651,Alloiococcus,scientific name,genus
1654,Actinomyces,scientific name,genus
1663,Arthrobacter,scientific name,genus
1678,Bifidobacterium,scientific name,genus
1696,Brevibacterium,scientific name,genus
1707,Cellulomonas,scientific name,genus
1716,Corynebacterium,scientific name,genus
1730,Eubacterium,scientific name,genus
1740,Thermodesulfobacterium,scientific name,genus
1743,Propionibacterium,scientific name,genus
1754,Thermoanaerobacter,scientific name,genus
1763,Mycobacterium,scientific name,genus
1813,Amycolatopsis,scientific name,genus
1817,Nocardia,scientific name,genus
1827,Rhodococcus,scientific name,genus
1835,Saccharopolyspora,scientific name,genus
1839,Nocardioides,scientific name,genus
1847,Pseudonocardia,scientific name,genus
1849,Actinopolyspora,scientific name,genus
1851,Saccharomonospora,scientific name,genus
1854,Frankia,scientific name,genus
1860,Geodermatophilus,scientific name,genus
1862,Dermatophilus,scientific name,genus
1865,Actinoplanes,scientific name,genus
1873,Micromonospora,scientific name,genus
1883,Streptomyces,scientific name,genus
1988,Actinomadura,scientific name,genus
1995,Microtetraspora,scientific name,genus
1998,Planomonospora,scientific name,genus
2000,Streptosporangium,scientific name,genus
2005,Microbispora,scientific name,genus
2013,Nocardiopsis,scientific name,genus
2016,Streptoalloteichus,scientific name,genus
2019,Thermomonospora,scientific name,genus
2023,Thermoactinomyces,scientific name,genus
2029,Kibdelosporangium,scientific name,genus
2034,Curtobacterium,scientific name,genus
2038,Tropheryma,scientific name,genus
2040,Aeromicrobium,scientific name,genus
2044,Pimelobacter,scientific name,genus
2050,Mobiluncus,scientific name,genus
2053,Gordonia,scientific name,genus
2056,Sphaerobacter,scientific name,genus
2060,Tsukamurella,scientific name,genus
2063,Kitasatospora,scientific name,genus
2071,Saccharothrix,scientific name,genus
2077,Sporolactobacillus,scientific name,genus
2086,Anaeroplasma,scientific name,genus
2093,Mycoplasma,scientific name,genus
2129,Ureaplasma,scientific name,genus
2132,Spiroplasma,scientific name,genus
2147,Acholeplasma,scientific name,genus
2152,Asteroleplasma,scientific name,genus
2160,Methanobacterium,scientific name,genus
2172,Methanobrevibacter,scientific name,genus
2175,Methanohalophilus,scientific name,genus
2179,Methanothermus,scientific name,genus
2184,Methanococcus,scientific name,genus
2192,Methanocorpusculum,scientific name,genus
2195,Methanogenium,scientific name,genus
2202,Methanospirillum,scientific name,genus
2204,Methanomicrobium,scientific name,genus
2207,Methanosarcina,scientific name,genus
2220,Methanolobus,scientific name,genus
2222,Methanothrix,scientific name,genus
2225,Methanococcoides,scientific name,genus
2233,Archaeoglobus,scientific name,genus
2237,Haloarcula,scientific name,genus
2239,Halobacterium,scientific name,genus
2249,Halococcus,scientific name,genus
2251,Haloferax,scientific name,genus
2256,Natronobacterium,scientific name,genus
2260,Pyrococcus,scientific name,genus
2263,Thermococcus,scientific name,genus
2268,Thermofilum,scientific name,genus
2270,Thermoproteus,scientific name,genus
2273,Desulfurococcus,scientific name,genus
2276,Pyrobaculum,scientific name,genus
2279,Staphylothermus,scientific name,genus
2284,Sulfolobus,scientific name,genus
2289,Desulfobacter,scientific name,genus
2295,Desulfobacterium,scientific name,genus
2299,Desulfosarcina,scientific name,genus
2302,Thermoplasma,scientific name,genus
2308,Pyrodictium,scientific name,genus
2314,Methanoplanus,scientific name,genus
2316,Methanosphaera,scientific name,genus
2319,Methanopyrus,scientific name,genus
2321,Methanohalobium,scientific name,genus
2330,Halanaerobium,scientific name,genus
2332,Propionigenium,scientific name,genus
2335,Thermotoga,scientific name,genus
2344,Methylosporovibrio,scientific name,genus
2349,Haliscomenobacter,scientific name,genus
2351,Flexistipes,scientific name,genus
2353,Flexispira,scientific name,genus
2357,Desulfomonile,scientific name,genus
2368,Arhodomonas,scientific name,genus
2370,Xylella,scientific name,genus
2373,Acetonema,scientific name,genus
2375,Sporomusa,scientific name,genus
2383,Epulopiscium,scientific name,genus
2420,Thermosipho,scientific name,genus
2422,Fervidobacterium,scientific name,genus
2425,Teredinibacter,scientific name,genus
2433,Roseobacter,scientific name,genus
2697,Heliobacterium,scientific name,genus
2701,Gardnerella,scientific name,genus
2706,Citrus,scientific name,genus
2713,Aquifex,scientific name,genus
2717,Cardiobacterium,scientific name,genus
2723,Hirschia,scientific name,genus
2733,Symbiobacterium,scientific name,genus
2735,Verrucomicrobium,scientific name,genus
2737,Vagococcus,scientific name,genus
2740,Peptococcus,scientific name,genus
2742,Marinobacter,scientific name,genus
2745,Halomonas,scientific name,genus
2747,Carnobacterium,scientific name,genus
2753,Synergistes,scientific name,genus
2755,Brochothrix,scientific name,genus
2761,Cyanophora,scientific name,genus
2764,Aglaothamnion,scientific name,genus
2766,Antithamnion,scientific name,genus
2768,Chondrus,scientific name,genus
2770,Cyanidium,scientific name,genus
2772,Gastroclonium,scientific name,genus
2774,Gracilaria,scientific name,genus
2781,Gracilariopsis,scientific name,genus
2784,Porphyra,scientific name,genus
2791,Porphyridium,scientific name,genus
2794,Rhodymenia,scientific name,genus
2800,Rhodella,scientific name,genus
2804,Polysiphonia,scientific name,genus
2809,Batrachospermum,scientific name,genus
2811,Gelidium,scientific name,genus
2815,Carpopeltis,scientific name,genus
2821,Palmaria,scientific name,genus
2823,Gloiopeltis,scientific name,genus
2828,Heterosigma,scientific name,genus
2831,Pavlova,scientific name,genus
2834,Bumilleriopsis,scientific name,genus
2838,Odontella,scientific name,genus
2842,Skeletonema,scientific name,genus
2849,Phaeodactylum,scientific name,genus
2852,Cylindrotheca,scientific name,genus
2857,Nitzschia,scientific name,genus
2862,Diatoma,scientific name,genus
2865,Crypthecodinium,scientific name,genus
2867,Peridinium,scientific name,genus
2871,Costaria,scientific name,genus
2875,Dictyota,scientific name,genus
2879,Ectocarpus,scientific name,genus
2882,Pylaiella,scientific name,genus
2888,Alaria,scientific name,genus
2892,Petalonia,scientific name,genus
2897,Chilomonas,scientific name,genus
2902,Emiliania,scientific name,genus
2905,Ochrosphaera,scientific name,genus
2912,Gonyaulax,scientific name,genus
2915,Ceratium,scientific name,genus
2918,Heterocapsa,scientific name,genus
2922,Thoracosphaera,scientific name,genus
2924,Alexandrium,scientific name,genus
2940,Cachonina,scientific name,genus
2944,Prorocentrum,scientific name,genus
2949,Symbiodinium,scientific name,genus
2955,Gymnodinium,scientific name,genus
2960,Amphidinium,scientific name,genus
2962,Woloszynskia,scientific name,genus
2965,Noctiluca,scientific name,genus
2968,Oxyrrhis,scientific name,genus
2971,Pyrocystis,scientific name,genus
2976,Vaucheria,scientific name,genus
2980,Tribonema,scientific name,genus
2985,Ochromonas,scientific name,genus
2988,Mallomonas,scientific name,genus
2991,Synura,scientific name,genus
2995,Hydrurus,scientific name,genus
2997,Chromulina,scientific name,genus
2999,Hibberdia,scientific name,genus
3002,Bacillaria,scientific name,genus
3004,Rhizosolenia,scientific name,genus
3006,Stephanopyxis,scientific name,genus
3011,Fucus,scientific name,genus
3015,Sargassum,scientific name,genus
3017,Acinetospora,scientific name,genus
3021,Akkesiphycus,scientific name,genus
3025,Chordaria,scientific name,genus
3028,Chroomonas,scientific name,genus
3030,Cryptomonas,scientific name,genus
3033,Pyrenomonas,scientific name,genus
3036,Astasia,scientific name,genus
3038,Euglena,scientific name,genus
3044,Dunaliella,scientific name,genus
3049,Polytomella,scientific name,genus
3052,Chlamydomonas,scientific name,genus
3063,Pyrobotrys,scientific name,genus
3066,Volvox,scientific name,genus
3071,Chlorella,scientific name,genus
3087,Scenedesmus,scientific name,genus
3091,Characium,scientific name,genus
3098,Neochloris,scientific name,genus
3101,Parietochloris,scientific name,genus
3104,Pediastrum,scientific name,genus
3106,Hydrodictyon,scientific name,genus
3108,Ankistrodesmus,scientific name,genus
3110,Prototheca,scientific name,genus
3118,Ulva,scientific name,genus
3123,Coleochaete,scientific name,genus
3128,Bryopsis,scientific name,genus
3132,Codium,scientific name,genus
3136,Acetabularia,scientific name,genus
3139,Batophora,scientific name,genus
3143,Chlorokybus,scientific name,genus
3148,Nitella,scientific name,genus
3155,Asteromonas,scientific name,genus
3158,Pedinomonas,scientific name,genus
3160,Platymonas,scientific name,genus
3162,Prasinocladus,scientific name,genus
3164,Tetraselmis,scientific name,genus
3170,Friedmannia,scientific name,genus
3174,Klebsormidium,scientific name,genus
3179,Spirogyra,scientific name,genus
3185,Chaetomorpha,scientific name,genus
3187,Nannochloris,scientific name,genus
3189,Scherffelia,scientific name,genus
3191,Spermatozopsis,scientific name,genus
3196,Marchantia,scientific name,genus
3202,Jungermannia,scientific name,genus
