taxid,name,nametype,rank
29,Myxococcales,scientific name,order
112,Planctomycetales,scientific name,order
136,Spirochaetales,scientific name,order
356,Rhizobiales,scientific name,order
766,Rickettsiales,scientific name,order
1118,Chroococcales,scientific name,order
1150,Oscillatoriales,scientific name,order
1161,Nostocales,scientific name,order
1385,Bacillales,scientific name,order
2037,Actinomycetales,scientific name,order
2085,Mycoplasmatales,scientific name,order
2158,Methanobacteriales,scientific name,order
2182,Methanococcales,scientific name,order
2191,Methanomicrobiales,scientific name,order
2231,Archaeoglobales,scientific name,order
2235,Halobacteriales,scientific name,order
2258,Thermococcales,scientific name,order
2266,Thermoproteales,scientific name,order
2281,Sulfolobales,scientific name,order
2301,Thermoplasmatales,scientific name,order
2419,Thermotogales,scientific name,order
2798,Porphyridiales,scientific name,order
2802,Ceramiales,scientific name,order
2807,Nemaliales,scientific name,order
2819,Palmariales,scientific name,order
2873,Dictyotales,scientific name,order
2877,Ectocarpales,scientific name,order
2886,Laminariales,scientific name,order
2910,Peridiniales,scientific name,order
2942,Prorocentrales,scientific name,order
2953,Gymnodiniales,scientific name,order
2964,Noctilucales,scientific name,order
2970,Pyrocystales,scientific name,order
2974,Vaucheriales,scientific name,order
2978,Tribonematales,scientific name,order
3009,Fucales,scientific name,order
3042,Chlamydomonadales,scientific name,order
3113,Ulvales,scientific name,order
3134,Dasycladales,scientific name,order
3172,Klebsormidiales,scientific name,order
3176,Zygnematales,scientific name,order
3183,Cladophorales,scientific name,order
3199,Jungermanniales,scientific name,order
3210,Polytrichales,scientific name,order
3215,Funariales,scientific name,order
3219,Dicranales,scientific name,order
3226,Bryales,scientific name,order
3237,Psilotales,scientific name,order
3244,Selaginellales,scientific name,order
3249,Lycopodiales,scientific name,order
3255,Equisetales,scientific name,order
3264,Marattiales,scientific name,order
3268,Polypodiales,scientific name,order
3297,Cycadales,scientific name,order
3308,Ginkgoales,scientific name,order
3374,Welwitschiales,scientific name,order
3378,Gnetales,scientific name,order
3385,Ephedrales,scientific name,order
3400,Magnoliales,scientific name,order
3432,Laurales,scientific name,order
3502,Fagales,scientific name,order
3524,Caryophyllales,scientific name,order
3646,Malpighiales,scientific name,order
3699,Brassicales,scientific name,order
3744,Rosales,scientific name,order
4036,Apiales,scientific name,order
4055,Gentianales,scientific name,order
4069,Solanales,scientific name,order
4143,Lamiales,scientific name,order
4199,Dipsacales,scientific name,order
4209,Asterales,scientific name,order
4618,Zingiberales,scientific name,order
4667,Liliales,scientific name,order
4739,Commelinales,scientific name,order
4763,Saprolegniales,scientific name,order
4776,Peronosporales,scientific name,order
4800,Lagenidiales,scientific name,order
4805,Blastocladiales,scientific name,order
4810,Chytridiales,scientific name,order
4827,Mucorales,scientific name,order
4857,Entomophthorales,scientific name,order
4861,Kickxellales,scientific name,order
4869,Endogonales,scientific name,order
4892,Saccharomycetales,scientific name,order
5008,Taphrinales,scientific name,order
5014,Dothideales,scientific name,order
5042,Eurotiales,scientific name,order
5114,Diaporthales,scientific name,order
5120,Erysiphales,scientific name,order
5125,Hypocreales,scientific name,order
5135,Phyllachorales,scientific name,order
5139,Sordariales,scientific name,order
5151,Ophiostomatales,scientific name,order
5178,Helotiales,scientific name,order
5185,Pezizales,scientific name,order
5197,Lecanorales,scientific name,order
5226,Auriculariales,scientific name,order
5234,Tremellales,scientific name,order
5244,Septobasidiales,scientific name,order
5258,Pucciniales,scientific name,order
5267,Ustilaginales,scientific name,order
5303,Polyporales,scientific name,order
5338,Agaricales,scientific name,order
5404,Exobasidiales,scientific name,order
5592,Microascales,scientific name,order
5653,Kinetoplastida,scientific name,order
5789,Physariida,scientific name,order
5819,Haemosporida,scientific name,order
5957,Heterotrichida,scientific name,order
5989,Haptorida,scientific name,order
6001,Prorodontida,scientific name,order
6049,Haplosclerida,scientific name,order
6103,Actiniaria,scientific name,order
6125,Scleractinia,scientific name,order
6133,Pennatulacea,scientific name,order
6143,Semaeostomeae,scientific name,order
6159,Tricladida,scientific name,order
6163,Polycladida,scientific name,order
6169,Lecithoepitheliata,scientific name,order
6180,Strigeidida,scientific name,order
6193,Opisthorchiida,scientific name,order
6201,Cyclophyllidea,scientific name,order
6219,Heteronemertea,scientific name,order
6227,Monostilifera,scientific name,order
6236,Rhabditida,scientific name,order
6249,Ascaridida,scientific name,order
6274,Spirurida,scientific name,order
6300,Tylenchida,scientific name,order
6329,Trichinellida,scientific name,order
6342,Capitellida,scientific name,order
6348,Phyllodocida,scientific name,order
6362,Sabellida,scientific name,order
6373,Terebellida,scientific name,order
6382,Haplotaxida,scientific name,order
6406,Rhynchobdellida,scientific name,order
6428,Xenopneusta,scientific name,order
6512,Gymnosomata,scientific name,order
6527,Stylommatophora,scientific name,order
6546,Mytiloida,scientific name,order
6552,Arcoida,scientific name,order
6562,Ostreoida,scientific name,order
6580,Veneroida,scientific name,order
6638,Octopoda,scientific name,order
6651,Neoloricata,scientific name,order
6659,Anostraca,scientific name,order
6683,Decapoda,scientific name,order
6816,Euphausiacea,scientific name,order
6821,Amphipoda,scientific name,order
6833,Calanoida,scientific name,order
6839,Arguloida,scientific name,order
6845,Xiphosura,scientific name,order
6855,Scorpiones,scientific name,order
6893,Araneae,scientific name,order
6935,Ixodida,scientific name,order
6961,Odonata,scientific name,order
6993,Orthoptera,scientific name,order
7020,Phasmatodea,scientific name,order
7041,Coleoptera,scientific name,order
7088,Lepidoptera,scientific name,order
7147,Diptera,scientific name,order
7399,Hymenoptera,scientific name,order
7504,Mantodea,scientific name,order
7509,Siphonaptera,scientific name,order
7516,Neuroptera,scientific name,order
7524,Hemiptera,scientific name,order
7563,Porocephalida,scientific name,order
7570,Lingulida,scientific name,order
