NODE_5_length_19218_cov_10.325950	#1868660#186616#10239#1#1#1#1#1#1#1#1#1#1#   
NODE_7_length_17842_cov_10.775851	#10699#28883#35237#10239#1#1#1#1#1#1#1#1#1#   
NODE_8_length_16678_cov_10.568942	#10699#28883#35237#10239#1#1#1#1#1#1#1#1#1#   
NODE_11_length_14182_cov_9.084013	#10699#28883#35237#10239#1#1#1#1#1#1#1#1#1#   
NODE_13_length_13871_cov_9.502755	#1982583#542836#10744#28883#35237#10239#1#1#1#1#1#1#1#   
NODE_17_length_11309_cov_7.253027	#1175662#196894#10699#28883#35237#10239#1#1#1#1#1#1#1#   
NODE_23_length_10525_cov_5.630838	#1175662#196894#10699#28883#35237#10239#1#1#1#1#1#1#1#   
NODE_25_length_10168_cov_6.674264	#1161935#196895#10744#28883#35237#10239#1#1#1#1#1#1#1#   
NODE_27_length_10132_cov_6.813923	#10662#28883#35237#10239#1#1#1#1#1#1#1#1#1#   
NODE_37_length_8863_cov_8.722627	#10662#28883#35237#10239#1#1#1#1#1#1#1#1#1#   
NODE_41_length_8752_cov_7.525303	#1868660#186616#10239#1#1#1#1#1#1#1#1#1#1#   
NODE_53_length_8160_cov_8.086478	#270182#354259#196894#10699#28883#35237#10239#1#1#1#1#1#1#   
NODE_54_length_8151_cov_7.107134	#270182#354259#196894#10699#28883#35237#10239#1#1#1#1#1#1#   
NODE_61_length_7916_cov_5.860824	#1636565#354259#196894#10699#28883#35237#10239#1#1#1#1#1#1#   
NODE_66_length_7557_cov_7.958556	#1636565#354259#196894#10699#28883#35237#10239#1#1#1#1#1#1#   
NODE_69_length_7232_cov_4.517680	#354259#196894#10699#28883#35237#10239#1#1#1#1#1#1#1#   
NODE_81_length_6995_cov_6.281295	#354259#196894#10699#28883#35237#10239#1#1#1#1#1#1#1#   
NODE_87_length_6773_cov_7.590054	#1962672#196894#10699#28883#35237#10239#1#1#1#1#1#1#1#   
NODE_90_length_6506_cov_8.534142	#1962672#196894#10699#28883#35237#10239#1#1#1#1#1#1#1#   
